Time Agent Velocity distanceToNearestPerson distanceToNearestObstacle
20.3867 14 0.889929 2.22276 2.45
20.3867 15 0.267253 1.52344 1.66208
20.3867 16 0.488457 1.39774 2.64008
20.3867 17 0.380632 2.22276 1.06066
20.3867 18 0.647886 3.58621 1.6
20.3867 19 0.532253 3.94361 2.5
20.3867 20 0.0263219 1.7411 0.88459
21.4241 0 0 1.8682 1.75642
21.4241 1 0.61403 3.31682 2.23886
21.4241 2 0.162286 0.898945 2.55
21.4241 3 0.355715 0.898945 2.43772
21.4241 4 0.421682 1.114 1.2
21.4241 5 0.513442 1.114 1.35
21.4241 6 0.533152 2.86706 1.4
21.4241 7 0.312402 2.35605 1.45774
21.4241 8 0.397125 1.67584 2.79732
21.4241 9 0.884965 2.81285 2.68002
21.4241 10 0.360868 2.43812 1.4089
21.4241 11 0.470831 2.13228 2.26274
21.4241 12 0.655791 2.066 2.37539
21.4241 13 0.363591 1.47373 2.15
21.4241 14 0.825074 2.6406 1.75
21.4241 15 0.459088 1.8682 1.44222
21.4241 16 0.488128 1.1805 2.19146
21.4241 17 0.618761 2.6406 1.35
21.4241 18 0.586625 4.23395 1.45
21.4241 19 0.585474 3.28732 2.5
21.4241 20 0.546849 1.1805 1.13137
22.4415 0 0 2.17424 1.75642
22.4415 1 0.734551 3.02893 2.4135
22.4415 2 0.145338 0.949776 2.5005
22.4415 3 0.438363 0.949776 2.79509
22.4415 4 0.557328 1.06373 1.5
22.4415 5 0.219356 1.06373 1
22.4415 6 0.469414 3.02893 1.45
22.4415 7 0.302886 2.37444 1.56605
22.4415 8 0.257802 1.22863 2.55
22.4415 9 0.799439 2.71004 1.84459
22.4415 10 0.262615 2.43023 1.14127
22.4415 11 0.312471 2.17424 2.65189
22.4415 12 0.678135 2.20859 1.68003
22.4415 13 0.441548 1.63292 2.3
22.4415 14 0.414392 2.76576 1.4
22.4415 15 0.601157 2.31123 1.26491
22.4415 16 0.626577 1.39609 1.81177
22.4415 17 0.352751 2.71004 1.73566
22.4415 18 0.286147 4.25625 1.45
22.4415 19 0.182495 2.62474 2.5
22.4415 20 0.729232 1.39609 1.65605
23.4678 0 0.3 1.96965 1.66883
23.4678 1 0.830552 2.51694 2.2
23.4678 2 0.260826 1.10964 2.7
23.4678 3 0.482333 1.10964 2.55
23.4678 4 0.740369 1.0169 2.05
23.4678 5 0.198583 1.15199 1.05
23.4678 6 0.437691 2.51694 1.8
23.4678 7 0.431835 2.55624 1.91377
23.4678 8 0.138984 1.0169 2.4
23.4678 9 0.625312 2.44775 1.07005
23.4678 10 0.444248 2.36217 1.30863
23.4678 11 0.276002 1.96965 2.83196
23.4678 12 0.304179 2.44863 1.22066
23.4678 13 0.531352 1.97924 2.65
23.4678 14 0.135568 2.76804 1.3
23.4678 15 0.724281 2.84743 1.4
23.4678 16 0.310943 1.97924 1.58902
23.4678 17 0.215342 2.44775 1.98116
23.4678 18 0.214477 4.29534 1.65
23.4678 19 0.134894 2.24708 2.45
